-འི  རོ ལ་པ 	མཛད་པ་ཡི 	།_། 	ཁྱོད་ལ་གཞོན 	ནུ 	-འི 	རོ	ལ་པ 	འདི 	མངའ་ན 	།_། 	གང 	bstod tshogs ka_.txt	མཛད་པ་ཡི  །_།  ཁྱོད་ལ་གཞོན  ནུ  -འི  རོ ལ་པ  འདི  མངའ་ན  །_།  གང 
 རོ ལ 						རོ	ལ 	འཚལ་མ་གྱུར 	།_། 	ལས་ཀྱི 	སྲད་བུ 	bstod tshogs ka_.txt	     རོ ལ  འཚལ་མ་གྱུར  །_།  ལས་ཀྱི  སྲད་བུ 
 རོ  །_། 						རོ 	།_། 	དེ 	ལྟར 	ཐུབ་པ 	-འི 	bstod tshogs ka_.txt	     རོ  །_།  དེ  ལྟར  ཐུབ་པ  -འི 
 རོ ལ 						རོ	ལ 	ཕྱིན་པ 	-འི་ཕྱིར 	།_། 	ཐུགས 	bstod tshogs ka_.txt	     རོ ལ  ཕྱིན་པ  -འི་ཕྱིར  །_།  ཐུགས 
ཕྱི  རོ ལ 	ཚུལ་ཁྲིམས 	གོམས་པ 	-ར་མཛད 	།_། 	ཕྱི 	རོ	ལ 	རྐྱེན་གྱིས 	མ 	རྫོགས་དང 	།_། 	bstod tshogs ka_.txt	ཚུལ་ཁྲིམས  གོམས་པ  -ར་མཛད  །_།  ཕྱི  རོ ལ  རྐྱེན་གྱིས  མ  རྫོགས་དང  །_། 
 རོ ལ 						རོ	ལ 	དག 	མི་འགྱུར 	།_། 	རྟག་ཏུ 	bstod tshogs ka_.txt	     རོ ལ  དག  མི་འགྱུར  །_།  རྟག་ཏུ 
 རོ ལ 						རོ	ལ 	ཕྱིན་པ 	-འི་རྒྱུ 	།_། 	ཐུགས 	bstod tshogs ka_.txt	     རོ ལ  ཕྱིན་པ  -འི་རྒྱུ  །_།  ཐུགས 
 རོ ལ 						རོ	ལ 	ཕྱིན 	འདོད་ཕྱིར 	།_། 	བྱས་པ 	bstod tshogs ka_.txt	     རོ ལ  ཕྱིན  འདོད་ཕྱིར  །_།  བྱས་པ 
 རོ ལ 						རོ	ལ 	ཕྱིན་པ་ནི 	།_། 	དག་པ 	-འི 	bstod tshogs ka_.txt	     རོ ལ  ཕྱིན་པ་ནི  །_།  དག་པ  -འི 
 རོ ལ 						རོ	ལ 	མེད 	བརྟགས་ན 	།_། 	རྒྱ 	bstod tshogs ka_.txt	     རོ ལ  མེད  བརྟགས་ན  །_།  རྒྱ 
