མི  འགྱུར ་རོ 	གཏོང་བ 	དག 	ལེན་པ 	-ར 	མི 	འགྱུར	་རོ 	།_། 	དེའི 	ཕྱིར 	འདི 	bstod tshogs ka_.txt	གཏོང་བ  དག  ལེན་པ  -ར  མི  འགྱུར ་རོ  །_།  དེའི  ཕྱིར  འདི 
 འགྱུར ་ཞེས 	-ར་ཅི་ཞིག 	འཆད་པ 	-ར 			འགྱུར	་ཞེས 	འདི་ལ 	ཡང་དག 	པར 	རྨོངས་པ 	bstod tshogs ka_.txt	-ར་ཅི་ཞིག  འཆད་པ  -ར    འགྱུར ་ཞེས  འདི་ལ  ཡང་དག  པར  རྨོངས་པ 
 འགྱུར  །_། 						འགྱུར 	།_། 	དེ་ལ 	འདི 	-ར 	སྐུ་གསུམ་ནི 	bstod tshogs ka_.txt	     འགྱུར  །_།  དེ་ལ  འདི  -ར  སྐུ་གསུམ་ནི 
-ར  འགྱུར ་བ་ནི 	སྟོང་པ 	ཉིད་ལས 	གང་ཞིག 	འབྱུང་བ 	-ར 	འགྱུར	་བ་ནི 	རྟག་པ་དང 	ཆད་པ 	-ར 	མི 	bstod tshogs ka_.txt	སྟོང་པ  ཉིད་ལས  གང་ཞིག  འབྱུང་བ  -ར  འགྱུར ་བ་ནི  རྟག་པ་དང  ཆད་པ  -ར  མི 
 འགྱུར ་ཏེ 						འགྱུར	་ཏེ 	།_ 	གང་གི 	ཕྱིར 	ཀུན་དུ 	bstod tshogs ka_.txt	     འགྱུར ་ཏེ  །_  གང་གི  ཕྱིར  ཀུན་དུ 
-ར  འགྱུར ་གྱི 	ཀུན་ནས 	ཉོན་མོངས 	པར 	ཐལ་བ 	-ར 	འགྱུར	་གྱི 	མ 	སྐྱེས་པ 	སྐྱེ་བ 	-ར་ནི 	bstod tshogs ka_.txt	ཀུན་ནས  ཉོན་མོངས  པར  ཐལ་བ  -ར  འགྱུར ་གྱི  མ  སྐྱེས་པ  སྐྱེ་བ  -ར་ནི 
-ར  འགྱུར ་བ 	གཉི 	ག་ལ 	-ས 	ལྡོག་པ 	-ར 	འགྱུར	་བ 	-ས་ན 	།_ 	དངོས 	མིན 	bstod tshogs ka_.txt	གཉི  ག་ལ  -ས  ལྡོག་པ  -ར  འགྱུར ་བ  -ས་ན  །_  དངོས  མིན 
 འགྱུར ་བ་སྟེ 						འགྱུར	་བ་སྟེ 	རང་གི 	ངོ་བོ 	ཉིད་ལ 	མི 	bstod tshogs ka_.txt	     འགྱུར ་བ་སྟེ  རང་གི  ངོ་བོ  ཉིད་ལ  མི 
-ར  འགྱུར ་བ་དེ་ལ 	དམ་པ 	-འི 	ཆོས་སྟོན་ཅིང 	གསུང་བ 	-ར 	འགྱུར	་བ་དེ་ལ 	དེ་སྐད་ཅེས་བྱའོ 	།_། 	སངས 	རྒྱས་ཞེས 	bstod tshogs ka_.txt	དམ་པ  -འི  ཆོས་སྟོན་ཅིང  གསུང་བ  -ར  འགྱུར ་བ་དེ་ལ  དེ་སྐད་ཅེས་བྱའོ  །_།  སངས  རྒྱས་ཞེས 
-ར  འགྱུར ་ཏེ 	།_། 	དེ་ནི 	འདི་སྐད་དུ 	སྟོན་པ 	-ར 	འགྱུར	་ཏེ 	།_ 	གང་གིས 	བདག་ཉིད་ཀྱིས 	བསོད་ནམས་དང 	bstod tshogs ka_.txt	།_།  དེ་ནི  འདི་སྐད་དུ  སྟོན་པ  -ར  འགྱུར ་ཏེ  །_  གང་གིས  བདག་ཉིད་ཀྱིས  བསོད་ནམས་དང 
མི  འགྱུར ་རོ 	-འི 	དོན 	སྟོན་པ 	-ར 	མི 	འགྱུར	་རོ 	།_། 	སེམས 	ཅན 	ཕན་པ་ཆུང་ཡང 	bstod tshogs ka_.txt	-འི  དོན  སྟོན་པ  -ར  མི  འགྱུར ་རོ  །_།  སེམས  ཅན  ཕན་པ་ཆུང་ཡང 
 འགྱུར ་ཏེ 						འགྱུར	་ཏེ 	།_། 	གང་གིས་ཡིད་ནི 	མགུ་བ 	-ར 	bstod tshogs ka_.txt	     འགྱུར ་ཏེ  །_།  གང་གིས་ཡིད་ནི  མགུ་བ  -ར 
 འགྱུར  །_། 						འགྱུར 	།_། 	ཆུང 	མ་དག་དང 	བུ་དང 	འབྱོར་དང 	bstod tshogs ka_.txt	     འགྱུར  །_།  ཆུང  མ་དག་དང  བུ་དང  འབྱོར་དང 
 འགྱུར  །_། 						འགྱུར 	།_། 	དེས་ན 	སེམས་ཅན 	ཕན་པ 	བྱས་ན 	bstod tshogs ka_.txt	     འགྱུར  །_།  དེས་ན  སེམས་ཅན  ཕན་པ  བྱས་ན 
 འགྱུར  །_། 						འགྱུར 	།_། 	གཞན 	དོན 	མངོན་དགའ 	-འི 	bstod tshogs ka_.txt	     འགྱུར  །_།  གཞན  དོན  མངོན་དགའ  -འི 
 འགྱུར  །_། 						འགྱུར 	།_། 	ཁྱོད 	ཉིད 	བྱིས་པ 	རྣམས་ལ་ནི 	bstod tshogs ka_.txt	     འགྱུར  །_།  ཁྱོད  ཉིད  བྱིས་པ  རྣམས་ལ་ནི 
འཆིང  འགྱུར ་ཞིང 	།_། 	ཁྱོད 	ཉིད 	མཐོང་ན 	འཆིང 	འགྱུར	་ཞིང 	།_། 	མ 	མཐོང་ན་ཡང 	འཆིང་བ 	bstod tshogs ka_.txt	།_།  ཁྱོད  ཉིད  མཐོང་ན  འཆིང  འགྱུར ་ཞིང  །_།  མ  མཐོང་ན་ཡང  འཆིང་བ 
 འགྱུར  །_། 						འགྱུར 	།_། 	ཁྱོད 	ཉིད 	མཐོང་ན 	གྲོལ 	bstod tshogs ka_.txt	     འགྱུར  །_།  ཁྱོད  ཉིད  མཐོང་ན  གྲོལ 
 འགྱུར ་ཞིང 						འགྱུར	་ཞིང 	།_། 	མ 	མཐོང་ན་ཡང 	གྲོལ་བ 	bstod tshogs ka_.txt	     འགྱུར ་ཞིང  །_།  མ  མཐོང་ན་ཡང  གྲོལ་བ 
 འགྱུར  །_། 						འགྱུར 	།_། 	ཨེ 	མ 	ཡ་མཚན་ཆེར 	འོང་མ 	bstod tshogs ka_.txt	     འགྱུར  །_།  ཨེ  མ  ཡ་མཚན་ཆེར  འོང་མ 
 འགྱུར  །_། 						འགྱུར 	།_། 	ཇི 	ལྟར 	རྒྱུ་རྐྱེན་ལས 	བྱུང་བ 	bstod tshogs ka_.txt	     འགྱུར  །_།  ཇི  ལྟར  རྒྱུ་རྐྱེན་ལས  བྱུང་བ 
 འགྱུར  །_། 						འགྱུར 	།_། 	མ 	འོངས་པ་ཡང 	ཇི་ལྟར་ལྟོས 	།_། 	bstod tshogs ka_.txt	     འགྱུར  །_།  མ  འོངས་པ་ཡང  ཇི་ལྟར་ལྟོས  །_། 
 འགྱུར  །_། 						འགྱུར 	།_། 	གཞན 	ཉིད 	ཡོད་ན 	རང་ཉིད་ཡོད 	bstod tshogs ka_.txt	     འགྱུར  །_།  གཞན  ཉིད  ཡོད་ན  རང་ཉིད་ཡོད 
 འགྱུར  །_། 						འགྱུར 	།_། 	གང 	ཚེ 	ཡང་དག 	ཤེས་པ 	bstod tshogs ka_.txt	     འགྱུར  །_།  གང  ཚེ  ཡང་དག  ཤེས་པ 
ཅན་དུ  འགྱུར ་བ་ལགས 	བྱེད་པ་པོ་ཡང 	གཞན་གྱིས་བགྱིས 	།_། 	བྱས་པ 	ཅན་དུ 	འགྱུར	་བ་ལགས 	།_། 	ཡང་ན་དེ་ཡི 	བྱ་བ་བྱེད 	།_། 	bstod tshogs ka_.txt	བྱེད་པ་པོ་ཡང  གཞན་གྱིས་བགྱིས  །_།  བྱས་པ  ཅན་དུ  འགྱུར ་བ་ལགས  །_།  ཡང་ན་དེ་ཡི  བྱ་བ་བྱེད  །_། 
 འགྱུར  །_། 						འགྱུར 	།_། 	འདི 	དག 	ཐམས་ཅད 	མིང་ཙམ་ཞེས 	bstod tshogs ka_.txt	     འགྱུར  །_།  འདི  དག  ཐམས་ཅད  མིང་ཙམ་ཞེས 
སྐྱེ  འགྱུར ་བ 	-ར་གསུངས 	།_། 	གང 	ལ་རྫས་ཤིག 	སྐྱེ 	འགྱུར	་བ 	།_། 	དེ་ལ 	ཆད 	སོགས 	bstod tshogs ka_.txt	-ར་གསུངས  །_།  གང  ལ་རྫས་ཤིག  སྐྱེ  འགྱུར ་བ  །_།  དེ་ལ  ཆད  སོགས 
པར་ཡང  འགྱུར ་བ་ལགས 	མཐའ 	ཡོད་དང 	_།_། 	མཐའ་མེད 	པར་ཡང 	འགྱུར	་བ་ལགས 	།_། 	ཤེས་པ 	ཡོད་པ 	-ས 	bstod tshogs ka_.txt	མཐའ  ཡོད་དང  _།_།  མཐའ་མེད  པར་ཡང  འགྱུར ་བ་ལགས  །_།  ཤེས་པ  ཡོད་པ  -ས 
 འགྱུར  །_། 						འགྱུར 	།_། 	དེ 	དག་གི་ཡང 	སྐྱེ་ལ་སོགས 	།_། 	bstod tshogs ka_.txt	     འགྱུར  །_།  དེ  དག་གི་ཡང  སྐྱེ་ལ་སོགས  །_། 
