 སུ མ་ལ 						སུ	མ་ལ 	བསྟོད་པ་ཞེས 	བྱ་བ 	-འི 	རྣམ་པ 	bstod tshogs ka_.txt	     སུ མ་ལ  བསྟོད་པ་ཞེས  བྱ་བ  -འི  རྣམ་པ 
 སུ མ་གྱི 						སུ	མ་གྱི 	།_། 	བསྟོད་པ 	ཀླུ་སྒྲུབ་ཀྱིས 	མཛད་པ 	bstod tshogs ka_.txt	     སུ མ་གྱི  །_།  བསྟོད་པ  ཀླུ་སྒྲུབ་ཀྱིས  མཛད་པ 
 སུ  བཅད་པ་གསུམ་གྱིས 						སུ 	བཅད་པ་གསུམ་གྱིས 	བརྗོད་པ 	-ར 	བྱ་བ་དང 	།_ 	bstod tshogs ka_.txt	     སུ  བཅད་པ་གསུམ་གྱིས  བརྗོད་པ  -ར  བྱ་བ་དང  །_ 
 སུ མ་ནི 						སུ	མ་ནི 	བརྗོད་པ 	-ར 	བྱ་བའོ 	།_། 	bstod tshogs ka_.txt	     སུ མ་ནི  བརྗོད་པ  -ར  བྱ་བའོ  །_། 
 སུ  བཅད་པ 						སུ 	བཅད་པ 	འདི 	བྱས་སོ 	།_། 	དེ 	bstod tshogs ka_.txt	     སུ  བཅད་པ  འདི  བྱས་སོ  །_།  དེ 
 སུ  བཅད་པ 						སུ 	བཅད་པ 	དག 	རྗོད་པ་དང 	བརྗོད་པ 	-ར 	bstod tshogs ka_.txt	     སུ  བཅད་པ  དག  རྗོད་པ་དང  བརྗོད་པ  -ར 
 སུ མ་གྱི 						སུ	མ་གྱི 	དོན་དང 	བྱ་བ 	མཐའ 	-ར 	bstod tshogs ka_.txt	     སུ མ་གྱི  དོན་དང  བྱ་བ  མཐའ  -ར 
 སུ  བྱ་བ 						སུ 	བྱ་བ 	-ར 	མི 	ནུས་ཏེ 	།_ 	bstod tshogs ka_.txt	     སུ  བྱ་བ  -ར  མི  ནུས་ཏེ  །_ 
 སུ  ཆད་པ 						སུ 	ཆད་པ 	མེད་པ 	-འི 	ངོ་བོ 	ཉིད་དོ 	bstod tshogs ka_.txt	     སུ  ཆད་པ  མེད་པ  -འི  ངོ་བོ  ཉིད་དོ 
 སུ  གྱུར་པ་དེ 						སུ 	གྱུར་པ་དེ 	མ 	མཐོང་སྟེ 	།_ 	སཱ 	bstod tshogs ka_.txt	     སུ  གྱུར་པ་དེ  མ  མཐོང་སྟེ  །_  སཱ 
ཕུན  སུ མ 	ཕྱིར 	བདག་དང 	གཞན་ལ 	ཕན་པ 	ཕུན 	སུ	མ 	ཚོགས་ཆེན 	གཞི 	-ར 	གྱུར་པ་ཞེས 	bstod tshogs ka_.txt	ཕྱིར  བདག་དང  གཞན་ལ  ཕན་པ  ཕུན  སུ མ  ཚོགས་ཆེན  གཞི  -ར  གྱུར་པ་ཞེས 
ཕུན  སུ མ 	།_ 	དེ 	དག་ལ 	ཕན་པ 	ཕུན 	སུ	མ 	ཚོགས་པ 	-འི 	གཞི 	-ར 	bstod tshogs ka_.txt	།_  དེ  དག་ལ  ཕན་པ  ཕུན  སུ མ  ཚོགས་པ  -འི  གཞི  -ར 
ཕུན  སུ མ 	ལེགས་པ 	-འི 	མཚན་ཉིད 	ཅན་གྱི 	ཕུན 	སུ	མ 	ཚོགས་པ 	ཆེན་པོ 	-འི 	གཞི 	bstod tshogs ka_.txt	ལེགས་པ  -འི  མཚན་ཉིད  ཅན་གྱི  ཕུན  སུ མ  ཚོགས་པ  ཆེན་པོ  -འི  གཞི 
