 ལས  འདས་པ་ནི 						ལས 	འདས་པ་ནི 	མར་མེ་དང 	མཚུངས་སོ 	།_། 	གཞན་ཡང 	bstod tshogs ka_.txt	     ལས  འདས་པ་ནི  མར་མེ་དང  མཚུངས་སོ  །_།  གཞན་ཡང 
 ལས  འདས་པ 						ལས 	འདས་པ 	-ར 	གྱུར་པའོ 	།_། 	དེ 	bstod tshogs ka_.txt	     ལས  འདས་པ  -ར  གྱུར་པའོ  །_།  དེ 
 ལས  བཙལ་བ་དང 						ལས 	བཙལ་བ་དང 	བྲལ་བ 	ཉིད་དོ 	།_། 	དེ 	bstod tshogs ka_.txt	     ལས  བཙལ་བ་དང  བྲལ་བ  ཉིད་དོ  །_།  དེ 
 ལས  འདས་པ 						ལས 	འདས་པ 	-ར 	གྱུར་པ་སྟེ 	།_ 	དེ 	bstod tshogs ka_.txt	     ལས  འདས་པ  -ར  གྱུར་པ་སྟེ  །_  དེ 
 ལས  འདས་པ་སྟེ 						ལས 	འདས་པ་སྟེ 	འཇིག་རྟེན་ལས 	རྒལ་བའོ 	།_། 	བསམ་གྱིས 	bstod tshogs ka_.txt	     ལས  འདས་པ་སྟེ  འཇིག་རྟེན་ལས  རྒལ་བའོ  །_།  བསམ་གྱིས 
 ལས  རིང་དུ 						ལས 	རིང་དུ 	གྱུར་པའོ 	།_། 	ལེགས 	མཛད་བརྒྱ་ཡི 	bstod tshogs ka_.txt	     ལས  རིང་དུ  གྱུར་པའོ  །_།  ལེགས  མཛད་བརྒྱ་ཡི 
 ལས  སྐྱེས་པའོ 						ལས 	སྐྱེས་པའོ 	།_། 	གང་གི 	ཞེ་ན 	།_ 	bstod tshogs ka_.txt	     ལས  སྐྱེས་པའོ  །_།  གང་གི  ཞེ་ན  །_ 
 ལས  འདས་པ 						ལས 	འདས་པ 	ཆེན་པོ 	སྟོན་པའོ 	།_། 	ཁྱད 	bstod tshogs ka_.txt	     ལས  འདས་པ  ཆེན་པོ  སྟོན་པའོ  །_།  ཁྱད 
 ལས  འདས་པ 						ལས 	འདས་པ 	ཆེན་པོ 	-འི 	བར་གྱིས 	འགྲོ་བ 	bstod tshogs ka_.txt	     ལས  འདས་པ  ཆེན་པོ  -འི  བར་གྱིས  འགྲོ་བ 
 ལས  བྱུང་བའི 						ལས 	བྱུང་བའི 	།_། 	ཞེས 	བྱ་བ 	སྨོས་ཏེ 	bstod tshogs ka_.txt	     ལས  བྱུང་བའི  །_།  ཞེས  བྱ་བ  སྨོས་ཏེ 
 ལས  བྱུང་བ་ནི 						ལས 	བྱུང་བ་ནི 	དེ་ལས 	སྐྱེས་པའོ 	།_། 	དེ 	bstod tshogs ka_.txt	     ལས  བྱུང་བ་ནི  དེ་ལས  སྐྱེས་པའོ  །_།  དེ 
 ལས  རབ་ཏུ 						ལས 	རབ་ཏུ 	འདས་པ་ཞེས 	བྱ་བ་སྟེ 	།_ 	དམིགས་སུ 	bstod tshogs ka_.txt	     ལས  རབ་ཏུ  འདས་པ་ཞེས  བྱ་བ་སྟེ  །_  དམིགས་སུ 
 ལས  ཤིན་ཏུ 						ལས 	ཤིན་ཏུ 	འདས་པ 	-འི 	དོན་ཏོ 	།_། 	bstod tshogs ka_.txt	     ལས  ཤིན་ཏུ  འདས་པ  -འི  དོན་ཏོ  །_། 
 ལས ་སོ 						ལས	་སོ 	།_། 	བདག་གིས 	དགེ་བ 	བྱང་ཆུབ 	bstod tshogs ka_.txt	     ལས ་སོ  །_།  བདག་གིས  དགེ་བ  བྱང་ཆུབ 
 ལས  སྙིང་རྗེ 						ལས 	སྙིང་རྗེ 	-ས 	བསླང་བ 	-ར 	ནུས་ཀྱི 	bstod tshogs ka_.txt	     ལས  སྙིང་རྗེ  -ས  བསླང་བ  -ར  ནུས་ཀྱི 
 ལས  དམིགས་པ 						ལས 	དམིགས་པ 	ངེས་པ 	-ར་འགྲུབ 	།_། 	བཏང 	bstod tshogs ka_.txt	     ལས  དམིགས་པ  ངེས་པ  -ར་འགྲུབ  །_།  བཏང 
 ལས  །_། 						ལས 	།_། 	སྐྱེ་བ 	བརྒྱུད་པ 	-ར 	གནོད་པ 	bstod tshogs ka_.txt	     ལས  །_།  སྐྱེ་བ  བརྒྱུད་པ  -ར  གནོད་པ 
 ལས ་གང་ལ 						ལས	་གང་ལ 	བརྟེན་ནས 	ཕན 	འདི་བསྒྲུབས 	།_། 	bstod tshogs ka_.txt	     ལས ་གང་ལ  བརྟེན་ནས  ཕན  འདི་བསྒྲུབས  །_། 
