 ཏེ  འདི་ནི 						ཏེ 	འདི་ནི 	མ 	གསུངས་ན 	།_། 	བདེ 	bstod tshogs ka_.txt	     ཏེ  འདི་ནི  མ  གསུངས་ན  །_།  བདེ 
 ཏེ  །_། 						ཏེ 	།_། 	བརྩོན 	འགྲུས 	ལེགས་པ 	-ར 	bstod tshogs ka_.txt	     ཏེ  །_།  བརྩོན  འགྲུས  ལེགས་པ  -ར 
 ཏེ  སྨོད 						ཏེ 	སྨོད 	བགྱིད་ན 	།_། 	ལྟ་དང 	འདྲ་བ 	bstod tshogs ka_.txt	     ཏེ  སྨོད  བགྱིད་ན  །_།  ལྟ་དང  འདྲ་བ 
 ཏེ  །_། 						ཏེ 	།_། 	མགོ་ལ 	ཞུགས་ནི 	འབར་བ 	-ས་ཀྱང 	bstod tshogs ka_.txt	     ཏེ  །_།  མགོ་ལ  ཞུགས་ནི  འབར་བ  -ས་ཀྱང 
 ཏེ  ཉོན་མོངས 						ཏེ 	ཉོན་མོངས 	བཞིན 	འཆི་འཕོ 	།_། 	ཁྱོད 	bstod tshogs ka_.txt	     ཏེ  ཉོན་མོངས  བཞིན  འཆི་འཕོ  །_།  ཁྱོད 
 ཏེ  །_། 						ཏེ 	།_། 	བསྟན་པ 	-ས 	རྣམ་པ 	-ར 	bstod tshogs ka_.txt	     ཏེ  །_།  བསྟན་པ  -ས  རྣམ་པ  -ར 
 ཏེ  ཁྱོད་ནི་བདེ 						ཏེ 	ཁྱོད་ནི་བདེ 	མཛད་ན 	།_། 	དེ་ལས 	ངོ་མཚར 	bstod tshogs ka_.txt	     ཏེ  ཁྱོད་ནི་བདེ  མཛད་ན  །_།  དེ་ལས  ངོ་མཚར 
 ཏེ  །_། 						ཏེ 	།_། 	ཡོངས་སུ 	ཤེས་པ 	-ས 	རྣམ་པ 	bstod tshogs ka_.txt	     ཏེ  །_།  ཡོངས་སུ  ཤེས་པ  -ས  རྣམ་པ 
 ཏེ  །_། 						ཏེ 	།_། 	ལེགས 	གསུངས 	མཉན 	འོས 	bstod tshogs ka_.txt	     ཏེ  །_།  ལེགས  གསུངས  མཉན  འོས 
 ཏེ  །_། 						ཏེ 	།_། 	འགྲོགས་ན་བདེ 	ཕྱིར 	སྙིང་དུ་སྡུག 	_། 	bstod tshogs ka_.txt	     ཏེ  །_།  འགྲོགས་ན་བདེ  ཕྱིར  སྙིང་དུ་སྡུག  _། 
 ཏེ  །_། 						ཏེ 	།_། 	ཡོན་ཏན་ལེགས 	རྟེན 	བཀྲ་ཤིས་ལགས 	།_། 	bstod tshogs ka_.txt	     ཏེ  །_།  ཡོན་ཏན་ལེགས  རྟེན  བཀྲ་ཤིས་ལགས  །_། 
 ཏེ  བླ་མ 						ཏེ 	བླ་མ 	-ར 	འཚལ་ན་གོ 	།_། 	ཁྱོད་ནི 	bstod tshogs ka_.txt	     ཏེ  བླ་མ  -ར  འཚལ་ན་གོ  །_།  ཁྱོད་ནི 
 ཏེ  །_། 						ཏེ 	།_། 	རྟག་ཏུ 	སྐྱོན 	དག 	ཚོལ་བ་ལ 	bstod tshogs ka_.txt	     ཏེ  །_།  རྟག་ཏུ  སྐྱོན  དག  ཚོལ་བ་ལ 
 ཏེ  དབྱེ 						ཏེ 	དབྱེ 	བྱེད 	རྣམས་ཀྱི་ནི 	།_། 	འབའ་ཞིག 	bstod tshogs ka_.txt	     ཏེ  དབྱེ  བྱེད  རྣམས་ཀྱི་ནི  །_།  འབའ་ཞིག 
