 ནས ་ཀུན 						ནས	་ཀུན 	།_། 	བསམ 	གཏན 	རྣམ་པ 	bstod tshogs ka_.txt	     ནས ་ཀུན  །_།  བསམ  གཏན  རྣམ་པ 
 ནས  །_། 						ནས 	།_། 	སྤྱོད་པ 	-འི 	འབྲས་བུ 	ཡོངས་འཛིན་པ 	bstod tshogs ka_.txt	     ནས  །_།  སྤྱོད་པ  -འི  འབྲས་བུ  ཡོངས་འཛིན་པ 
 ནས ་ནི 						ནས	་ནི 	ཡོངས་སུ 	གྱུར་པ་དེ 	།_། 	ཆོས་ཀྱི 	bstod tshogs ka_.txt	     ནས ་ནི  ཡོངས་སུ  གྱུར་པ་དེ  །_།  ཆོས་ཀྱི 
 ནས  །_། 						ནས 	།_། 	གང 	ཚེ 	སེམས་ནི 	རབ 	bstod tshogs ka_.txt	     ནས  །_།  གང  ཚེ  སེམས་ནི  རབ 
 ནས  །_། 						ནས 	།_། 	པདྨ 	ཆེན་པོ 	-འི 	རང་བཞིན་གྱི 	bstod tshogs ka_.txt	     ནས  །_།  པདྨ  ཆེན་པོ  -འི  རང་བཞིན་གྱི 
 ནས ་འགྱུར 						ནས	་འགྱུར 	།_། 	འདབ 	མ 	རིན་ཆེན 	bstod tshogs ka_.txt	     ནས ་འགྱུར  །_།  འདབ  མ  རིན་ཆེན 
 ནས ་ནས 						ནས	་ནས 	།_། 	རྨོངས་པ 	-ས 	དམན་པ 	bstod tshogs ka_.txt	     ནས ་ནས  །_།  རྨོངས་པ  -ས  དམན་པ 
 ནས  །_། 						ནས 	།_། 	དེ་ཡི 	སྐུ་ལས 	འོད་ཟེར་རྣམས 	།_། 	bstod tshogs ka_.txt	     ནས  །_།  དེ་ཡི  སྐུ་ལས  འོད་ཟེར་རྣམས  །_། 
 ནས  གྱུར་ནས 						ནས 	གྱུར་ནས 	།_། 	སྣ 	ཚོགས 	ནོར་བུ 	bstod tshogs ka_.txt	     ནས  གྱུར་ནས  །_།  སྣ  ཚོགས  ནོར་བུ 
 ནས  ཉོན་མོངས་དང 						ནས 	ཉོན་མོངས་དང 	།_། 	རྣམ 	བྱང 	རོ་གཅིག 	bstod tshogs ka_.txt	     ནས  ཉོན་མོངས་དང  །_།  རྣམ  བྱང  རོ་གཅིག 
