 _ ། 						_	། 	ཐོག 	མ 	བར 	མཐའ 	bstod tshogs ka_.txt	     _ །  ཐོག  མ  བར  མཐའ 
 _ ། 						_	། 	ཇི 	ལྟར 	རིན་ཆེན་བཻཌཱུརྱ 	།_། 	bstod tshogs ka_.txt	     _ །  ཇི  ལྟར  རིན་ཆེན་བཻཌཱུརྱ  །_། 
 _ །_། 	དུས 	རྣམས 	ཀུན་དུ 	འོད་གསལ་ཡང 		_	།_། 	རྡོ་ཡི 	ནང་ན 	གནས 	གྱུར་ན 	bstod tshogs ka_.txt	དུས  རྣམས  ཀུན་དུ  འོད་གསལ་ཡང   _ །_།  རྡོ་ཡི  ནང་ན  གནས  གྱུར་ན 
 _ ། 						_	། 	དེ་ཡི 	འོད་ནི 	གསལ 	མ་ཡིན 	bstod tshogs ka_.txt	     _ །  དེ་ཡི  འོད་ནི  གསལ  མ་ཡིན 
 _ ། 						_	། 	དེ 	བཞིན 	ཉོན་མོངས་ཀྱིས 	བསྒྲིབས་པའི 	bstod tshogs ka_.txt	     _ །  དེ  བཞིན  ཉོན་མོངས་ཀྱིས  བསྒྲིབས་པའི 
 _ ། 						_	། 	ཆོས 	དབྱིངས 	ཤིན་ཏུ 	དྲི་མེད་པ 	bstod tshogs ka_.txt	     _ །  ཆོས  དབྱིངས  ཤིན་ཏུ  དྲི་མེད་པ 
-འང  _ །_། 					-འང 	_	།_། 	འཁོར་བ 	-ར 	འོད་ནི 	གསལ 	bstod tshogs ka_.txt	    -འང  _ །_།  འཁོར་བ  -ར  འོད་ནི  གསལ 
 _ ། 						_	། 	མྱ་ངན 	འདས་ན 	འོད་གསལ་འགྱུར 	།_། 	bstod tshogs ka_.txt	     _ །  མྱ་ངན  འདས་ན  འོད་གསལ་འགྱུར  །_། 
 _ ། 						_	། 	ས 	ལེ 	སྦྲམ 	དག 	bstod tshogs ka_.txt	     _ །  ས  ལེ  སྦྲམ  དག 
 _ ། 						_	། 	ཁམས 	མེད་ན 	ནི་ལ 	-ས 	bstod tshogs ka_.txt	     _ །  ཁམས  མེད་ན  ནི་ལ  -ས 
 _ ། 						_	། 	ཉོན་མོངས 	འབའ་ཞིག 	བསྐྱེད་པ 	-ར་ཟད 	bstod tshogs ka_.txt	     _ །  ཉོན་མོངས  འབའ་ཞིག  བསྐྱེད་པ  -ར་ཟད 
 _ ། 						_	། 	ཇི 	ལྟར 	སྦུན་པ 	-ས 	bstod tshogs ka_.txt	     _ །  ཇི  ལྟར  སྦུན་པ  -ས 
 _ ། 						_	། 	སོ་བ 	འབྲས་བུ 	-ར 	མི 	bstod tshogs ka_.txt	     _ །  སོ་བ  འབྲས་བུ  -ར  མི 
 _ ། 						_	། 	དེ 	བཞིན 	ཉོན་མོངས་ཀྱིས 	གཡོགས་པས 	bstod tshogs ka_.txt	     _ །  དེ  བཞིན  ཉོན་མོངས་ཀྱིས  གཡོགས་པས 
 _ ། 	།_། 	དེ་ནི 	སངས་རྒྱས་ཞེས 	མི་བརྟག 		_	། 	ཇི 	ལྟར 	སྦུན་པ་ལས 	གྲོལ་ན 	bstod tshogs ka_.txt	།_།  དེ་ནི  སངས་རྒྱས་ཞེས  མི་བརྟག   _ །  ཇི  ལྟར  སྦུན་པ་ལས  གྲོལ་ན 
 _ ། 						_	། 	འབྲས 	ཉིད 	སྣང་བ 	-ར 	bstod tshogs ka_.txt	     _ །  འབྲས  ཉིད  སྣང་བ  -ར 
 _ ། 						_	། 	དེ 	བཞིན 	ཉོན་མོངས་ལས 	གྲོལ་ན 	bstod tshogs ka_.txt	     _ །  དེ  བཞིན  ཉོན་མོངས་ལས  གྲོལ་ན 
 _ ། 						_	། 	ཆོས་ཀྱི 	སྐུ 	ཉིད 	རབ་ཏུ་གསལ 	bstod tshogs ka_.txt	     _ །  ཆོས་ཀྱི  སྐུ  ཉིད  རབ་ཏུ་གསལ 
 _ ། 						_	། 	ཆུ་ཤིང 	སྙིང་པོ 	མེད་དོ་ཞེས 	།_། 	bstod tshogs ka_.txt	     _ །  ཆུ་ཤིང  སྙིང་པོ  མེད་དོ་ཞེས  །_། 
 _ ། 						_	། 	དེ་ཡི 	འབྲས་བུ 	སྙིང་པོ་ཉིད 	།_། 	bstod tshogs ka_.txt	     _ །  དེ་ཡི  འབྲས་བུ  སྙིང་པོ་ཉིད  །_། 
 _ ། 						_	། 	སྙིང་པོ 	མེད་པ 	-འི 	འཁོར་བ་ལས 	bstod tshogs ka_.txt	     _ །  སྙིང་པོ  མེད་པ  -འི  འཁོར་བ་ལས 
 _ ། 						_	། 	ཉོན་མོངས 	གཟེབ་དང 	བྲལ 	གྱུར་ན 	bstod tshogs ka_.txt	     _ །  ཉོན་མོངས  གཟེབ་དང  བྲལ  གྱུར་ན 
 _ ། 						_	། 	དེ་ཡི 	འབྲས་བུ 	སངས་རྒྱས་ཉིད 	།_། 	bstod tshogs ka_.txt	     _ །  དེ་ཡི  འབྲས་བུ  སངས་རྒྱས་ཉིད  །_། 
 _ ། 						_	། 	དེ 	བཞིན 	ས་བོན 	ཐམས་ཅད་ལས 	bstod tshogs ka_.txt	     _ །  དེ  བཞིན  ས་བོན  ཐམས་ཅད་ལས 
