 ཞེས  མི་བརྟག 						ཞེས 	མི་བརྟག 	_། 	ཇི 	ལྟར 	སྦུན་པ་ལས 	bstod tshogs ka_.txt	     ཞེས  མི་བརྟག  _།  ཇི  ལྟར  སྦུན་པ་ལས 
།_།  ཞེས  བཤད་པ 	།_། 	འདྲ་བ 	གང་ཡིན་དེ 	དཔེ་ཡིན 	།_། 	ཞེས 	བཤད་པ 	ལྟ་བུའོ 	།_། 	འདི་ནི 	བཅོམ་ལྡན 	bstod tshogs ka_.txt	།_།  འདྲ་བ  གང་ཡིན་དེ  དཔེ་ཡིན  །_།  ཞེས  བཤད་པ  ལྟ་བུའོ  །_།  འདི་ནི  བཅོམ་ལྡན 
 ཞེས ་བྱའོ 						ཞེས	་བྱའོ 	།_། 	རྣམ 	པར 	རྟོག་པ་ཡང 	bstod tshogs ka_.txt	     ཞེས ་བྱའོ  །_།  རྣམ  པར  རྟོག་པ་ཡང 
།_།  ཞེས  བྱ་བ་ལ 	དྲི་མེད 	ཐུགས་རྗེ 	-འི 	ཤུགས་ལས་བྱུང 	།_། 	ཞེས 	བྱ་བ་ལ 	སོགས་པ 	སྨོས་སོ 	།_། 	རྟག་ཏུ 	bstod tshogs ka_.txt	དྲི་མེད  ཐུགས་རྗེ  -འི  ཤུགས་ལས་བྱུང  །_།  ཞེས  བྱ་བ་ལ  སོགས་པ  སྨོས་སོ  །_།  རྟག་ཏུ 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	-ར 	སྦྱར་རོ 	།_། 	ཐུགས 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  -ར  སྦྱར་རོ  །_།  ཐུགས 
 ཞེས  བྱ་བ་ལ 						ཞེས 	བྱ་བ་ལ 	སོགས་པ 	གསུངས་སོ 	།_། 	འགྲོ 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ་ལ  སོགས་པ  གསུངས་སོ  །_།  འགྲོ 
 ཞེས  བྱ་བ་ནི 						ཞེས 	བྱ་བ་ནི 	ཉེ་བ 	-ར 	མཚོན་པ་སྟེ 	ཕྱོགས 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ་ནི  ཉེ་བ  -ར  མཚོན་པ་སྟེ  ཕྱོགས 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	-ར་ཡང 	ཁོང་དུ 	ཆུད་པ 	-ར་བྱའོ 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  -ར་ཡང  ཁོང་དུ  ཆུད་པ  -ར་བྱའོ 
 ཞེས  འབྱུང་ངོ 						ཞེས 	འབྱུང་ངོ 	།_། 	དེར་ནི 	ཚིག 	འདི 	bstod tshogs ka_.txt	     ཞེས  འབྱུང་ངོ  །_།  དེར་ནི  ཚིག  འདི 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	འདི་ཉིད་ནི 	མཇུག 	སྡུད་པ་ཡིན་ཏེ 	།_ 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  འདི་ཉིད་ནི  མཇུག  སྡུད་པ་ཡིན་ཏེ  །_ 
 ཞེས ་ཀྱང་བྱའོ 						ཞེས	་ཀྱང་བྱའོ 	།_། 	གནས 	སྐབས 	དེས་ན་ནི 	bstod tshogs ka_.txt	     ཞེས ་ཀྱང་བྱའོ  །_།  གནས  སྐབས  དེས་ན་ནི 
 ཞེས  བསྟན་པ 						ཞེས 	བསྟན་པ 	-ར 	བྱ་བ 	-ར 	ཟད་དོ 	bstod tshogs ka_.txt	     ཞེས  བསྟན་པ  -ར  བྱ་བ  -ར  ཟད་དོ 
 ཞེས  བྱ་བ་ལ 						ཞེས 	བྱ་བ་ལ 	སོགས་པ 	སྨོས་སོ 	།_། 	འགག་པ་ནི 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ་ལ  སོགས་པ  སྨོས་སོ  །_།  འགག་པ་ནི 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	-འི 	དོན་ཏོ 	།_། 	གང་ཞིག་ཅེ་ན 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  -འི  དོན་ཏོ  །_།  གང་ཞིག་ཅེ་ན 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	-འི 	དོན་ཏོ 	།_། 	དེ 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  -འི  དོན་ཏོ  །_།  དེ 
 ཞེས  བྱ་བ་ནི 						ཞེས 	བྱ་བ་ནི 	འཇིག་རྟེན་གསུམ་པོ་ལའོ 	།_། 	མཆོག་ནི 	སངས་རྒྱས་ཀྱི 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ་ནི  འཇིག་རྟེན་གསུམ་པོ་ལའོ  །_།  མཆོག་ནི  སངས་རྒྱས་ཀྱི 
 ཞེས  ཡོངས་སུ 						ཞེས 	ཡོངས་སུ 	ཆད་པ 	མེད་པ 	ཡོད་པ 	དེ་དག་ནི 	bstod tshogs ka_.txt	     ཞེས  ཡོངས་སུ  ཆད་པ  མེད་པ  ཡོད་པ  དེ་དག་ནི 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	མི 	དཔོགས་པ 	དེ་དག་ཏུ 	ནམ་ཡང 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  མི  དཔོགས་པ  དེ་དག་ཏུ  ནམ་ཡང 
 ཞེས  བྱ་བ་ནི 						ཞེས 	བྱ་བ་ནི 	གནས་གང་ལ 	ལེགས་པ 	-ར 	རྫོགས་ཤིང 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ་ནི  གནས་གང་ལ  ལེགས་པ  -ར  རྫོགས་ཤིང 
 ཞེས  ཐེག་པ 						ཞེས 	ཐེག་པ 	ཆེན་པོ 	-འི 	ཚུལ 	ལ་མ 	bstod tshogs ka_.txt	     ཞེས  ཐེག་པ  ཆེན་པོ  -འི  ཚུལ  ལ་མ 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	གསུངས་སོ 	།_། 	དེ 	བཞིན 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  གསུངས་སོ  །_།  དེ  བཞིན 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	མི 	འབྱུང་སྟེ 	།_ 	དེར་ནི 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  མི  འབྱུང་སྟེ  །_  དེར་ནི 
།_།  ཞེས  བཤད་པ 	སྦྱོར 	སྒྲ་ཡི 	ཆ 	མིང་བཞིན 	།_། 	ཞེས 	བཤད་པ 	ལྟ་བུའོ 	།_། 	དེ་ནི 	གསོལ་བ 	bstod tshogs ka_.txt	སྦྱོར  སྒྲ་ཡི  ཆ  མིང་བཞིན  །_།  ཞེས  བཤད་པ  ལྟ་བུའོ  །_།  དེ་ནི  གསོལ་བ 
 ཞེས  བྱ་བ་ལ 						ཞེས 	བྱ་བ་ལ 	སོགས་པ 	གསུངས་ཏེ 	།_ 	ཇི 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ་ལ  སོགས་པ  གསུངས་ཏེ  །_  ཇི 
།_།  ཞེས  བྱ་བ 	སྦྱིན 	མཆོག་ཉིད 	གནས་མཆོག 	ཉིད་བརྙེས 	།_། 	ཞེས 	བྱ་བ 	གསུངས་སོ 	།_། 	སྦྱིན་པ་ནི 	ཟང་ཟིང་དང 	bstod tshogs ka_.txt	སྦྱིན  མཆོག་ཉིད  གནས་མཆོག  ཉིད་བརྙེས  །_།  ཞེས  བྱ་བ  གསུངས་སོ  །_།  སྦྱིན་པ་ནི  ཟང་ཟིང་དང 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	-འི 	དོན་ཏོ 	།_། 	ཡང་ན 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  -འི  དོན་ཏོ  །_།  ཡང་ན 
 ཞེས  སྤྱིར 						ཞེས 	སྤྱིར 	སྨོས་པ 	-ས 	མཆོག 	ངན་ངོན 	bstod tshogs ka_.txt	     ཞེས  སྤྱིར  སྨོས་པ  -ས  མཆོག  ངན་ངོན 
 ཞེས  འབྱུང་སྟེ 						ཞེས 	འབྱུང་སྟེ 	།_ 	དེར་ནི 	མཆོག 	སངས་རྒྱས་ཀྱི 	bstod tshogs ka_.txt	     ཞེས  འབྱུང་སྟེ  །_  དེར་ནི  མཆོག  སངས་རྒྱས་ཀྱི 
 ཞེས  རྣམ་པ 						ཞེས 	རྣམ་པ 	-ར 	བཤད་པ 	-ར་བྱའོ 	།_། 	bstod tshogs ka_.txt	     ཞེས  རྣམ་པ  -ར  བཤད་པ  -ར་བྱའོ  །_། 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	-འི 	དོན་ཏོ 	།_། 	དེ་འང 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  -འི  དོན་ཏོ  །_།  དེ་འང 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	གང་ཡིན་པའོ 	།_། 	གང 	དག་ལ 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  གང་ཡིན་པའོ  །_།  གང  དག་ལ 
 ཞེས  འབྱུང་གི 						ཞེས 	འབྱུང་གི 	བདེ་བ 	-ར 	གཤེགས་ཞེས 	མི 	bstod tshogs ka_.txt	     ཞེས  འབྱུང་གི  བདེ་བ  -ར  གཤེགས་ཞེས  མི 
 ཞེས  བྱ་བ་ནི 						ཞེས 	བྱ་བ་ནི 	ཕྱོགས 	བཅུ 	མཐའ་ཡས་པ 	-འི 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ་ནི  ཕྱོགས  བཅུ  མཐའ་ཡས་པ  -འི 
 ཞེས  བྱ་བ་ནི 						ཞེས 	བྱ་བ་ནི 	།_ 	དམ 	ཚིག་གསུམ་པ 	-འི 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ་ནི  །_  དམ  ཚིག་གསུམ་པ  -འི 
།_།  ཞེས  གསུངས་པ 	ཐེ 	ཚོམ 	ཉིད་ནི 	མི་བྱའོ 	།_། 	ཞེས 	གསུངས་པ 	ལྟ་བུའོ 	།_། 	འཇིག 	རྟེན་པ་དང 	bstod tshogs ka_.txt	ཐེ  ཚོམ  ཉིད་ནི  མི་བྱའོ  །_།  ཞེས  གསུངས་པ  ལྟ་བུའོ  །_།  འཇིག  རྟེན་པ་དང 
