 ཞེས  མི་བརྟག 						ཞེས 	མི་བརྟག 	_། 	ཇི 	ལྟར 	སྦུན་པ་ལས 	bstod tshogs ka_.txt	     ཞེས  མི་བརྟག  _།  ཇི  ལྟར  སྦུན་པ་ལས 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	-འི 	དོན་ཏོ 	།_། 	དེ 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  -འི  དོན་ཏོ  །_།  དེ 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	-འི 	འགྲེལ་པ 	རྫོགས་སོ 	།།_།། 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  -འི  འགྲེལ་པ  རྫོགས་སོ  །།_།། 
 ཞེས  བྱ་བ 						ཞེས 	བྱ་བ 	-འི 	ལུང་ལས 	བཅོམ་ལྡན 	འདས་ཀྱིས 	bstod tshogs ka_.txt	     ཞེས  བྱ་བ  -འི  ལུང་ལས  བཅོམ་ལྡན  འདས་ཀྱིས 
 ཞེས  བགྱིད་དེ 						ཞེས 	བགྱིད་དེ 	མཆིས་ཏེ 	།_། 	ཆད་པ 	སྟོང་པ 	bstod tshogs ka_.txt	     ཞེས  བགྱིད་དེ  མཆིས་ཏེ  །_།  ཆད་པ  སྟོང་པ 
 ཞེས  བརྗོད་པ་གང 						ཞེས 	བརྗོད་པ་གང 	ལགས་ཏེ 	།_། 	རང་གི 	རང་བཞིན 	bstod tshogs ka_.txt	     ཞེས  བརྗོད་པ་གང  ལགས་ཏེ  །_།  རང་གི  རང་བཞིན 
 ཞེས ་ཀྱང 						ཞེས	་ཀྱང 	ཁྱོད་ཀྱིས་གསུངས 	།_། 	ཡོད 	ཅེས་པ་ནི 	bstod tshogs ka_.txt	     ཞེས ་ཀྱང  ཁྱོད་ཀྱིས་གསུངས  །_།  ཡོད  ཅེས་པ་ནི 
 ཞེས  །_། 						ཞེས 	།_། 	དེ 	སྐད 	ཁྱོད་ཀྱིས 	གསལ་བ 	bstod tshogs ka_.txt	     ཞེས  །_།  དེ  སྐད  ཁྱོད་ཀྱིས  གསལ་བ 
 ཞེས  །_། 						ཞེས 	།_། 	ཁྱོད་ཀྱིས 	གསང་ནི 	བསྟོད་དེ་གསུངས 	།_། 	bstod tshogs ka_.txt	     ཞེས  །_།  ཁྱོད་ཀྱིས  གསང་ནི  བསྟོད་དེ་གསུངས  །_། 
 ཞེས  ཁྱོད་ཀྱིས་གསུངས 						ཞེས 	ཁྱོད་ཀྱིས་གསུངས 	།_། 	གང་གིས 	སྟོང་པ 	-ར 	bstod tshogs ka_.txt	     ཞེས  ཁྱོད་ཀྱིས་གསུངས  །_།  གང་གིས  སྟོང་པ  -ར 
 ཞེས  རབ་ཏུ་གསུངས 						ཞེས 	རབ་ཏུ་གསུངས 	།_། 	དམ་པ 	-འི 	དོན་ནི 	bstod tshogs ka_.txt	     ཞེས  རབ་ཏུ་གསུངས  །_།  དམ་པ  -འི  དོན་ནི 
 ཞེས ་ཀྱང་བསྟན 						ཞེས	་ཀྱང་བསྟན 	།_། 	གང་ཡང 	སྐྱེ་དང 	འགག་ལ་སོགས 	bstod tshogs ka_.txt	     ཞེས ་ཀྱང་བསྟན  །_།  གང་ཡང  སྐྱེ་དང  འགག་ལ་སོགས 
