མེད་ན  ན ི་ལ 	མཐོང་བ 	-ར་འགྱུར 	།_། 	ཁམས 	མེད་ན 	ན	ི་ལ 	-ས 	བྱས་ན 	།_། 	ཉོན་མོངས 	bstod tshogs ka_.txt	མཐོང་བ  -ར་འགྱུར  །_།  ཁམས  མེད་ན  ན ི་ལ  -ས  བྱས་ན  །_།  ཉོན་མོངས 
 ན ་པ 						ན	་པ 	-ས 	གཡོགས 	གྱུར་པས 	།_། 	bstod tshogs ka_.txt	     ན ་པ  -ས  གཡོགས  གྱུར་པས  །_། 
 ན  ཉོན་མོངས་ཀྱིས 						ན 	ཉོན་མོངས་ཀྱིས 	གཡོགས་པས 	།_། 	དེ་ནི 	སངས་རྒྱས་ཞེས 	bstod tshogs ka_.txt	     ན  ཉོན་མོངས་ཀྱིས  གཡོགས་པས  །_།  དེ་ནི  སངས་རྒྱས་ཞེས 
 ན ་པ་ལས 						ན	་པ་ལས 	གྲོལ་ན 	།_། 	འབྲས 	ཉིད 	bstod tshogs ka_.txt	     ན ་པ་ལས  གྲོལ་ན  །_།  འབྲས  ཉིད 
 ན  ཉོན་མོངས་ལས 						ན 	ཉོན་མོངས་ལས 	གྲོལ་ན 	།_། 	ཆོས་ཀྱི 	སྐུ 	bstod tshogs ka_.txt	     ན  ཉོན་མོངས་ལས  གྲོལ་ན  །_།  ཆོས་ཀྱི  སྐུ 
 ན ་ན་ནི 						ན	་ན་ནི 	དཔེ 	-ར 	བྱེད་ཀྱང 	།_། 	bstod tshogs ka_.txt	     ན ་ན་ནི  དཔེ  -ར  བྱེད་ཀྱང  །_། 
 ན ་མོངས 						ན	་མོངས 	གཟེབ་དང 	བྲལ 	གྱུར་ན 	།_། 	bstod tshogs ka_.txt	     ན ་མོངས  གཟེབ་དང  བྲལ  གྱུར་ན  །_། 
 ན  ཀུན་གྱི 						ན 	ཀུན་གྱི 	བདུད་རྩི 	-ར་འགྱུར 	།_། 	དེ 	bstod tshogs ka_.txt	     ན  ཀུན་གྱི  བདུད་རྩི  -ར་འགྱུར  །_།  དེ 
 ན  ས་བོན 						ན 	ས་བོན 	ཐམས་ཅད་ལས 	།_། 	རྒྱུ་དང 	འདྲ་བ 	bstod tshogs ka_.txt	     ན  ས་བོན  ཐམས་ཅད་ལས  །_།  རྒྱུ་དང  འདྲ་བ 
 ན  མེད་པ 						ན 	མེད་པ 	-ར 	འབྲས 	ཡོད་པར 	།_། 	bstod tshogs ka_.txt	     ན  མེད་པ  -ར  འབྲས  ཡོད་པར  །_། 
 ན ུས 	ཤེས 	ལྡན་གང་གིས 	སྒྲུབ་པ 	-ར 		ན	ུས 	།_།_ 	-ས 	བོན 	གྱུར་པ 	bstod tshogs ka_.txt	ཤེས  ལྡན་གང་གིས  སྒྲུབ་པ  -ར   ན ུས  །_།_  -ས  བོན  གྱུར་པ 
 ན ་གྱི 						ན	་གྱི 	རྟེན་དུ་འདོད 	།_། 	རིམ་གྱིས 	སྦྱངས་པ 	bstod tshogs ka_.txt	     ན ་གྱི  རྟེན་དུ་འདོད  །_།  རིམ་གྱིས  སྦྱངས་པ 
 ན ་དང 						ན	་དང 	ཁུག་རྣ 	དུ་བ་དང 	_།_། 	སྒྲ་གཅན 	bstod tshogs ka_.txt	     ན ་དང  ཁུག་རྣ  དུ་བ་དང  _།_།  སྒྲ་གཅན 
