 གི  །_། 						གི 	།_། 	ཚིག་དང 	སྤྱོད 	མཁྱེན 	འོངས་པ་དང 	bstod tshogs ka_.txt	     གི  །_།  ཚིག་དང  སྤྱོད  མཁྱེན  འོངས་པ་དང 
 གི  གྲུབ་པ 						གི 	གྲུབ་པ 	བདག་ལ 	སྩོལ་ཅིག 	ཅེས་བྱ་བ་ཡིན་ཏེ 	།_ 	bstod tshogs ka_.txt	     གི  གྲུབ་པ  བདག་ལ  སྩོལ་ཅིག  ཅེས་བྱ་བ་ཡིན་ཏེ  །_ 
 གི  དཔེ 						གི 	དཔེ 	-ར 	བྱས་ཏེ 	།_ 	ཇི 	bstod tshogs ka_.txt	     གི  དཔེ  -ར  བྱས་ཏེ  །_  ཇི 
 གི  ངོ་བོ་ནི 						གི 	ངོ་བོ་ནི 	མཉམ་པ 	-འི 	དཔེ 	ཉིད་དོ 	bstod tshogs ka_.txt	     གི  ངོ་བོ་ནི  མཉམ་པ  -འི  དཔེ  ཉིད་དོ 
 གི  གྲུབ་པ 						གི 	གྲུབ་པ 	སྩོལ་བ་སྟེ 	།_ 	མཆོག་ནི 	སྟོབས་དང 	bstod tshogs ka_.txt	     གི  གྲུབ་པ  སྩོལ་བ་སྟེ  །_  མཆོག་ནི  སྟོབས་དང 
 གི  གྲུབ་པ་ནི 						གི 	གྲུབ་པ་ནི 	ཡོངས་སུ 	གྲུབ་པ་སྟེ 	།_ 	གང 	bstod tshogs ka_.txt	     གི  གྲུབ་པ་ནི  ཡོངས་སུ  གྲུབ་པ་སྟེ  །_  གང 
 གི  ཡོན་ཏན 						གི 	ཡོན་ཏན 	ཡོངས་སུ 	གྲུབ་པ 	མཉམ་པ 	མེད་པ 	bstod tshogs ka_.txt	     གི  ཡོན་ཏན  ཡོངས་སུ  གྲུབ་པ  མཉམ་པ  མེད་པ 
 གི  ཆ་ཤས་དང 						གི 	ཆ་ཤས་དང 	ཆ་ཤས་ཀྱིས་ཀྱང 	རྟག་ཏུ 	སེམས་ཅན་གྱི 	ཁམས་ལ 	bstod tshogs ka_.txt	     གི  ཆ་ཤས་དང  ཆ་ཤས་ཀྱིས་ཀྱང  རྟག་ཏུ  སེམས་ཅན་གྱི  ཁམས་ལ 
 གི  དངོས་གྲུབ 						གི 	དངོས་གྲུབ 	སྩོལ་བ 	-ར 	འགྱུར་བ 	ཉིད་ན 	bstod tshogs ka_.txt	     གི  དངོས་གྲུབ  སྩོལ་བ  -ར  འགྱུར་བ  ཉིད་ན 
 གི ས་ན 						གི	ས་ན 	བཅོམ་ལྡན 	འདས་ཀྱི 	དཔེ 	-ར 	bstod tshogs ka_.txt	     གི ས་ན  བཅོམ་ལྡན  འདས་ཀྱི  དཔེ  -ར 
 གི  རྣམ་པ་ལ 						གི 	རྣམ་པ་ལ 	ཕྱི་རོལ་གྱི 	ངོ་བོ 	-ར 	ཞེན་ནས 	bstod tshogs ka_.txt	     གི  རྣམ་པ་ལ  ཕྱི་རོལ་གྱི  ངོ་བོ  -ར  ཞེན་ནས 
 གི ས 						གི	ས 	གོམས་པ་དང 	ལྡན་པ 	-ས 	འབྲས་བུ 	bstod tshogs ka_.txt	     གི ས  གོམས་པ་དང  ལྡན་པ  -ས  འབྲས་བུ 
 གི  སྙིང་རྗེ་དེ་ནི 						གི 	སྙིང་རྗེ་དེ་ནི 	དམིགས་པ 	མེད་པ 	།_ 	ཕྱིན་ཅི 	bstod tshogs ka_.txt	     གི  སྙིང་རྗེ་དེ་ནི  དམིགས་པ  མེད་པ  །_  ཕྱིན་ཅི 
 གི  ངང་གིས 						གི 	ངང་གིས 	འབྱུང་བ 	།_ 	ངང་དུ 	འགྱུར་བ་ཡིན་པས 	bstod tshogs ka_.txt	     གི  ངང་གིས  འབྱུང་བ  །_  ངང་དུ  འགྱུར་བ་ཡིན་པས 
 གི  དོན 						གི 	དོན 	མཛད་ཅིང 	།_ 	ཆོས་ཀྱི 	འཁོར་ལོ 	bstod tshogs ka_.txt	     གི  དོན  མཛད་ཅིང  །_  ཆོས་ཀྱི  འཁོར་ལོ 
 གི ས་ཀྱང 						གི	ས་ཀྱང 	མི 	དཔོག་པ་སྟེ 	།_ 	དཔག་ཏུ 	bstod tshogs ka_.txt	     གི ས་ཀྱང  མི  དཔོག་པ་སྟེ  །_  དཔག་ཏུ 
 གི  དོན 						གི 	དོན 	ཉིད་ཀྱི 	རྐྱེན་ཡིན་ནོ 	།_། 	དེ 	bstod tshogs ka_.txt	     གི  དོན  ཉིད་ཀྱི  རྐྱེན་ཡིན་ནོ  །_།  དེ 
 གི  བསམ་པ 						གི 	བསམ་པ 	-འི 	ངོ 	-ར 	ཨེ 	bstod tshogs ka_.txt	     གི  བསམ་པ  -འི  ངོ  -ར  ཨེ 
 གི  །_ 						གི 	།_ 	འབྱོར་པ 	བདོག་ཀྱང 	འཇུངས་པ 	རྣམས་ལ་ནི 	bstod tshogs ka_.txt	     གི  །_  འབྱོར་པ  བདོག་ཀྱང  འཇུངས་པ  རྣམས་ལ་ནི 
 གི  ངོ་བོ 						གི 	ངོ་བོ 	ཉིད་ནི 	སྦྱིན 	མཆོག་ཉིད་དོ 	།_། 	bstod tshogs ka_.txt	     གི  ངོ་བོ  ཉིད་ནི  སྦྱིན  མཆོག་ཉིད་དོ  །_། 
 གི  ངོ་བོ་ནི 						གི 	ངོ་བོ་ནི 	གནས་མཆོག 	ཉིད་དོ 	།_། 	དེ 	bstod tshogs ka_.txt	     གི  ངོ་བོ་ནི  གནས་མཆོག  ཉིད་དོ  །_།  དེ 
 གི  སྦྱིན་པ 						གི 	སྦྱིན་པ 	སེམས་ཅན 	རྣམས་ལ 	སྦྱིན་པ 	-ས་ན 	bstod tshogs ka_.txt	     གི  སྦྱིན་པ  སེམས་ཅན  རྣམས་ལ  སྦྱིན་པ  -ས་ན 
 གི  དོན་གྱི 						གི 	དོན་གྱི 	རྐྱེན་ཡིན་ནོ 	།_། 	དེས 	གནས་མཆོག 	bstod tshogs ka_.txt	     གི  དོན་གྱི  རྐྱེན་ཡིན་ནོ  །_།  དེས  གནས་མཆོག 
 གི  དངོས་གྲུབ 						གི 	དངོས་གྲུབ 	སྩོལ་ཞེས 	འབྱུང་སྟེ 	།_ 	དེར་ནི 	bstod tshogs ka_.txt	     གི  དངོས་གྲུབ  སྩོལ་ཞེས  འབྱུང་སྟེ  །_  དེར་ནི 
 གི  བདེ་བ 						གི 	བདེ་བ 	-ར 	གཤེགས་ཞེས 	མི 	འབྱུང་ངོ 	bstod tshogs ka_.txt	     གི  བདེ་བ  -ར  གཤེགས་ཞེས  མི  འབྱུང་ངོ 
 གི  དངོས་གྲུབ་བམ 						གི 	དངོས་གྲུབ་བམ 	།_ 	དེ 	རྟོགས་པ 	-འི 	bstod tshogs ka_.txt	     གི  དངོས་གྲུབ་བམ  །_  དེ  རྟོགས་པ  -འི 
 གི  བྱང་ཆུབ 						གི 	བྱང་ཆུབ 	སེམས 	བརྟན་ཞིང 	།_། 	བློ 	bstod tshogs ka_.txt	     གི  བྱང་ཆུབ  སེམས  བརྟན་ཞིང  །_།  བློ 
 གི  དངོས་གྲུབ་སྟེ 						གི 	དངོས་གྲུབ་སྟེ 	།_ 	དེ 	ཉིད 	ཐམས་ཅད 	bstod tshogs ka_.txt	     གི  དངོས་གྲུབ་སྟེ  །_  དེ  ཉིད  ཐམས་ཅད 
 གི  ཞབས་ཀྱི་པདྨའི 						གི 	ཞབས་ཀྱི་པདྨའི 	རྡུལ་ལ 	བརྟེན་པ 	-ས 	མཛད་པ 	bstod tshogs ka_.txt	     གི  ཞབས་ཀྱི་པདྨའི  རྡུལ་ལ  བརྟེན་པ  -ས  མཛད་པ 
 གི ས 						གི	ས 	མཐོང་ཐོས 	དྲན་ཡང 	དཔལ 	གྱུར་པ 	bstod tshogs ka_.txt	     གི ས  མཐོང་ཐོས  དྲན་ཡང  དཔལ  གྱུར་པ 
 གི  ཕ་རོལ་བྱོན 						གི 	ཕ་རོལ་བྱོན 	།_། 	ཐམས་ཅད 	མཁྱེན་པ 	ལྷ་ཡི 	bstod tshogs ka_.txt	     གི  ཕ་རོལ་བྱོན  །_།  ཐམས་ཅད  མཁྱེན་པ  ལྷ་ཡི 
