 གི  །_། 						གི 	།_། 	ཚིག་དང 	སྤྱོད 	མཁྱེན 	འོངས་པ་དང 	bstod tshogs ka_.txt	     གི  །_།  ཚིག་དང  སྤྱོད  མཁྱེན  འོངས་པ་དང 
 གི ་ལམ་ལས 						གི	་ལམ་ལས 	རབ་ཏུ 	འདས་པ་ཞེས 	བྱ་བ་སྟེ 	།_ 	bstod tshogs ka_.txt	     གི ་ལམ་ལས  རབ་ཏུ  འདས་པ་ཞེས  བྱ་བ་སྟེ  །_ 
 གི ས 						གི	ས 	དགེ་བ 	བྱང་ཆུབ 	ས་བོན་ཞེས 	བྱ་བ་ནི 	bstod tshogs ka_.txt	     གི ས  དགེ་བ  བྱང་ཆུབ  ས་བོན་ཞེས  བྱ་བ་ནི 
 གི ས 						གི	ས 	འདི 	-ར་ནི 	ལོ་འདབ 	རྩེ 	bstod tshogs ka_.txt	     གི ས  འདི  -ར་ནི  ལོ་འདབ  རྩེ 
 གི ས 						གི	ས 	སྙིང་རྗེ 	མ 	བཏང་དེ་ཡིས 	ང་ལ 	bstod tshogs ka_.txt	     གི ས  སྙིང་རྗེ  མ  བཏང་དེ་ཡིས  ང་ལ 
 གི ས 						གི	ས 	སྙིང་རྗེ 	སེམས་ཅན་ལ་ནི 	རྗེས་སུ 	ཞུགས 	bstod tshogs ka_.txt	     གི ས  སྙིང་རྗེ  སེམས་ཅན་ལ་ནི  རྗེས་སུ  ཞུགས 
 གི ་ཕྱིར 						གི	་ཕྱིར 	།_། 	ང་ལ 	མི 	ལྟོས་པ 	bstod tshogs ka_.txt	     གི ་ཕྱིར  །_།  ང་ལ  མི  ལྟོས་པ 
 གི ས་ཡིད་ནི 						གི	ས་ཡིད་ནི 	མགུ་བ 	-ར 	བྱེད་པ 	མཆོད་པ 	bstod tshogs ka_.txt	     གི ས་ཡིད་ནི  མགུ་བ  -ར  བྱེད་པ  མཆོད་པ 
 གི  དོན་དུ 						གི 	དོན་དུ 	སྙིང་རྗེ་དེ་ལ 	འབད་པ 	-འི་ཡིད་ཀྱིས 	བཟོད་པ 	bstod tshogs ka_.txt	     གི  དོན་དུ  སྙིང་རྗེ་དེ་ལ  འབད་པ  -འི་ཡིད་ཀྱིས  བཟོད་པ 
 གི  དོན་དུ 						གི 	དོན་དུ 	དོན 	འདི་བསྒྲུབས 	།_། 	གལ་ཏེ 	bstod tshogs ka_.txt	     གི  དོན་དུ  དོན  འདི་བསྒྲུབས  །_།  གལ་ཏེ 
 གི  དོན་དུ 						གི 	དོན་དུ 	ཉེ་བ 	-ར་བསྒྲུབས 	།_། 	ཇི 	bstod tshogs ka_.txt	     གི  དོན་དུ  ཉེ་བ  -ར་བསྒྲུབས  །_།  ཇི 
 གི  ཡུལ 						གི 	ཡུལ 	ཀུན་ལས 	འདས་མ 	།_། 	གང 	bstod tshogs ka_.txt	     གི  ཡུལ  ཀུན་ལས  འདས་མ  །_།  གང 
 གི ས 						གི	ས 	དགེ་བ་གང 	བསགས་པ 	།_། 	དེ་ཡིས 	bstod tshogs ka_.txt	     གི ས  དགེ་བ་གང  བསགས་པ  །_།  དེ་ཡིས 
 གི ས 						གི	ས 	བསྟན་པ་མཛད 	།_། 	རྐྱེན 	རྣམས་ལས་ནི 	bstod tshogs ka_.txt	     གི ས  བསྟན་པ་མཛད  །_།  རྐྱེན  རྣམས་ལས་ནི 
 གི  རང་བཞིན 						གི 	རང་བཞིན 	མེད་ན་མིན 	།_། 	གང 	ཚེ 	bstod tshogs ka_.txt	     གི  རང་བཞིན  མེད་ན་མིན  །_།  གང  ཚེ 
 གི ས་ཅི་ཞིག 						གི	ས་ཅི་ཞིག 	མ 	རྟོགས་པ 	།_། 	ཡང 	bstod tshogs ka_.txt	     གི ས་ཅི་ཞིག  མ  རྟོགས་པ  །_།  ཡང 
 གི ས་ཀྱང་གང 						གི	ས་ཀྱང་གང 	མ་བཀྲོལ 	།_། 	ཐུབ་ཆེན་གང 	ཕྱིར 	bstod tshogs ka_.txt	     གི ས་ཀྱང་གང  མ་བཀྲོལ  །_།  ཐུབ་ཆེན་གང  ཕྱིར 
 གི ས 						གི	ས 	མ 	བཀྲོལ་ཞེས 	།_། 	དེ 	bstod tshogs ka_.txt	     གི ས  མ  བཀྲོལ་ཞེས  །_།  དེ 
 གི ས 						གི	ས 	སྟོང་པ 	-ར 	རྣམ་རྟོག་པའི 	།_། 	bstod tshogs ka_.txt	     གི ས  སྟོང་པ  -ར  རྣམ་རྟོག་པའི  །_། 
 གི ས 						གི	ས 	གསལ 	བསྟན་ནས 	།_། 	ལྟ་བ 	bstod tshogs ka_.txt	     གི ས  གསལ  བསྟན་ནས  །_།  ལྟ་བ 
 གི ས 						གི	ས 	རང 	ཕྱིན་ཏེ 	།_། 	བསོད 	bstod tshogs ka_.txt	     གི ས  རང  ཕྱིན་ཏེ  །_།  བསོད 
 གི ས 						གི	ས 	བསོད་ནམས་གང 	ཐོབ་དེས 	།_། 	འགྲོ་བ 	bstod tshogs ka_.txt	     གི ས  བསོད་ནམས་གང  ཐོབ་དེས  །_།  འགྲོ་བ 
 གི ས 						གི	ས 	བསྟོད 	འདས 	བསྟོད་པ 	-ར་བགྱི 	bstod tshogs ka_.txt	     གི ས  བསྟོད  འདས  བསྟོད་པ  -ར་བགྱི 
 གི ་ཡང 						གི	་ཡང 	སྐྱེ་ལ་སོགས 	།_། 	གསུམ་པ 	ཐ 	bstod tshogs ka_.txt	     གི ་ཡང  སྐྱེ་ལ་སོགས  །_།  གསུམ་པ  ཐ 
 གི ས་ནི 						གི	ས་ནི 	དེ་ལྟར་རྟོགས 	།_། 	དེ 	དག 	bstod tshogs ka_.txt	     གི ས་ནི  དེ་ལྟར་རྟོགས  །_།  དེ  དག 
 གི ས 						གི	ས 	རྣམ་ཤེས་པ 	།_། 	དེ 	ཚེ་དེ་ལ་ཇི 	bstod tshogs ka_.txt	     གི ས  རྣམ་ཤེས་པ  །_།  དེ  ཚེ་དེ་ལ་ཇི 
 གི ས 						གི	ས 	བསོད་ནམས 	གང་ཡིན་དེས 	།_། 	འཇིག 	bstod tshogs ka_.txt	     གི ས  བསོད་ནམས  གང་ཡིན་དེས  །_།  འཇིག 
 གི ས 						གི	ས 	ཚུ་རོལ 	ཕ་རོལ་སྤངས 	།_། 	ཤེས 	bstod tshogs ka_.txt	     གི ས  ཚུ་རོལ  ཕ་རོལ་སྤངས  །_།  ཤེས 
 གི  ངོ་བོ་མཆོག 						གི 	ངོ་བོ་མཆོག 	_། 	ཡེ 	ཤེས 	རྫུ་འཕྲུལ 	bstod tshogs ka_.txt	     གི  ངོ་བོ་མཆོག  _།  ཡེ  ཤེས  རྫུ་འཕྲུལ 
 གི ས 						གི	ས 	སྲིན་བུ 	-འི 	སྟོབས་ཀྱིས་ནི 	།_། 	bstod tshogs ka_.txt	     གི ས  སྲིན་བུ  -འི  སྟོབས་ཀྱིས་ནི  །_། 
 གི ས 						གི	ས 	སྣང་བ 	-ས 	མུན་བསལ་བ 	།_། 	bstod tshogs ka_.txt	     གི ས  སྣང་བ  -ས  མུན་བསལ་བ  །_། 
 གི ས་ལམ 						གི	ས་ལམ 	གཟིགས་ལམ 	མཁྱེན་པ 	།_། 	བླ 	bstod tshogs ka_.txt	     གི ས་ལམ  གཟིགས་ལམ  མཁྱེན་པ  །_།  བླ 
 གི ས་ནི 						གི	ས་ནི 	ཆ་ཤས་དང 	།_། 	དོན 	སྟོང 	bstod tshogs ka_.txt	     གི ས་ནི  ཆ་ཤས་དང  །_།  དོན  སྟོང 
 གི ས 						གི	ས 	གུས་པ 	-ས 	བླ་མ་བསྟོད 	།_། 	bstod tshogs ka_.txt	     གི ས  གུས་པ  -ས  བླ་མ་བསྟོད  །_། 
 གི  །_། 						གི 	།_། 	གཞན་དུ 	ཁྱོད་ལ 	ཇི་ལྟར་བསྟོད 	།_། 	bstod tshogs ka_.txt	     གི  །_།  གཞན་དུ  ཁྱོད་ལ  ཇི་ལྟར་བསྟོད  །_། 
