གནས་ཀྱི  སྟེ ང 	།_། 	གཙང 	མ 	-འི 	གནས་ཀྱི 	སྟེ	ང 	བཞུགས་ཏེ 	།_། 	ཡང 	དག 	bstod tshogs ka_.txt	།_།  གཙང  མ  -འི  གནས་ཀྱི  སྟེ ང  བཞུགས་ཏེ  །_།  ཡང  དག 
 སྟེ  །_ 						སྟེ 	།_ 	དེ 	ལྟ་བུ 	-འི 	སེམས་ཅན་གྱི 	bstod tshogs ka_.txt	     སྟེ  །_  དེ  ལྟ་བུ  -འི  སེམས་ཅན་གྱི 
 སྟེ  །_ 						སྟེ 	།_ 	བསོད 	ནམ 	-ས་དང 	ཡེ་ཤེས 	bstod tshogs ka_.txt	     སྟེ  །_  བསོད  ནམ  -ས་དང  ཡེ་ཤེས 
 སྟེ  མཛེས་པ 						སྟེ 	མཛེས་པ 	-ར 	གཤེགས་པ 	-འམ 	སླར 	bstod tshogs ka_.txt	     སྟེ  མཛེས་པ  -ར  གཤེགས་པ  -འམ  སླར 
 སྟེ  །_ 						སྟེ 	།_ 	དམིགས་སུ 	ཡོད་པ 	-འི་ཡིད་ཀྱི 	ཡུལ་ལས 	bstod tshogs ka_.txt	     སྟེ  །_  དམིགས་སུ  ཡོད་པ  -འི་ཡིད་ཀྱི  ཡུལ་ལས 
 སྟེ  །_ 						སྟེ 	།_ 	བྱང 	ཆུབ་པ 	-འི་ལམ་ནི 	བྱང་ཆུབ་ལམ་སྟེ 	bstod tshogs ka_.txt	     སྟེ  །_  བྱང  ཆུབ་པ  -འི་ལམ་ནི  བྱང་ཆུབ་ལམ་སྟེ 
 སྟེ  །_། 						སྟེ 	།_། 	སྙིང 	རྗེ 	བཏང་ནས 	གནས་པ 	bstod tshogs ka_.txt	     སྟེ  །_།  སྙིང  རྗེ  བཏང་ནས  གནས་པ 
 སྟེ  །_། 						སྟེ 	།_། 	སེམས 	ཅན 	ཁོ་ན 	-འི 	bstod tshogs ka_.txt	     སྟེ  །_།  སེམས  ཅན  ཁོ་ན  -འི 
 སྟེ  །_། 						སྟེ 	།_། 	ཁྱོད་ནི 	བྱམས་མ 	-འི 	ཡུམ 	bstod tshogs ka_.txt	     སྟེ  །_།  ཁྱོད་ནི  བྱམས་མ  -འི  ཡུམ 
 སྟེ ན་མ 						སྟེ	ན་མ 	།_། 	ཁྱོད 	ཉིད 	གཅིག་པུ 	bstod tshogs ka_.txt	     སྟེ ན་མ  །_།  ཁྱོད  ཉིད  གཅིག་པུ 
 སྟེ  །_། 						སྟེ 	།_། 	གཞན་གྱི 	དབང་ཞེས 	རབ་ཏུ་གསུངས 	།_། 	bstod tshogs ka_.txt	     སྟེ  །_།  གཞན་གྱི  དབང་ཞེས  རབ་ཏུ་གསུངས  །_། 
 སྟེ གས 						སྟེ	གས 	རི 	དགས 	འཇིགས 	བགྱིད་པ 	bstod tshogs ka_.txt	     སྟེ གས  རི  དགས  འཇིགས  བགྱིད་པ 
 སྟེ  །_། 						སྟེ 	།_། 	དངོས་སུ 	མགོན་པོ 	ཁྱོད 	མི་བཞེད 	bstod tshogs ka_.txt	     སྟེ  །_།  དངོས་སུ  མགོན་པོ  ཁྱོད  མི་བཞེད 
མུ  སྟེ གས 	མཆོག་ཏུ 	བསྒྲུབ 	མཛད་པ 	།_། 	མུ 	སྟེ	གས 	ཕམ 	མཛད 	མཆོད་རྟེན 	ཕྱག 	bstod tshogs ka_.txt	མཆོག་ཏུ  བསྒྲུབ  མཛད་པ  །_།  མུ  སྟེ གས  ཕམ  མཛད  མཆོད་རྟེན  ཕྱག 
མུ  སྟེ གས 	འཁོར་ལོ 	ཕུལ་ནས 	འཁོར་ལོ་བསྐོར 	།_། 	མུ 	སྟེ	གས 	སྟོན་པ་དྲུག་ནི 	སྟོབས་ཀྱིས་བཏུལ 	།_། 	སྤྲུལ་པ 	bstod tshogs ka_.txt	འཁོར་ལོ  ཕུལ་ནས  འཁོར་ལོ་བསྐོར  །_།  མུ  སྟེ གས  སྟོན་པ་དྲུག་ནི  སྟོབས་ཀྱིས་བཏུལ  །_།  སྤྲུལ་པ 
 སྟེ  མཁའ་ལ 						སྟེ 	མཁའ་ལ 	གཤེགས་ནས་ཀྱང 	།_། 	མཆོད 	རྟེན 	bstod tshogs ka_.txt	     སྟེ  མཁའ་ལ  གཤེགས་ནས་ཀྱང  །_།  མཆོད  རྟེན 
མུ  སྟེ གས 	ངན་པ 	ཚར 	བཅད་ནས 	།_། 	མུ 	སྟེ	གས 	སྟོན་པ་དྲུག་དང 	ལྷས་བྱིན་སོགས 	།_། 	འཁོར་མོ 	bstod tshogs ka_.txt	ངན་པ  ཚར  བཅད་ནས  །_།  མུ  སྟེ གས  སྟོན་པ་དྲུག་དང  ལྷས་བྱིན་སོགས  །_།  འཁོར་མོ 
