 ནོ ད་སེམས 						ནོ	ད་སེམས 	ལེ་ལོ་དང 	_།_། 	རྒོད་པ་དང་ནི 	ཐེ་ཚོམ་སྟེ 	bstod tshogs ka_.txt	     ནོ ད་སེམས  ལེ་ལོ་དང  _།_།  རྒོད་པ་དང་ནི  ཐེ་ཚོམ་སྟེ 
 ནོ  །_། 						ནོ 	།_། 	འབྲས 	བུ 	-འི 	གནས་སྐབས་ནི 	bstod tshogs ka_.txt	     ནོ  །_།  འབྲས  བུ  -འི  གནས་སྐབས་ནི 
 ནོ  །_། 						ནོ 	།_། 	སེམས 	ཅན་གྱི 	དོན 	བྱ་བ 	bstod tshogs ka_.txt	     ནོ  །_།  སེམས  ཅན་གྱི  དོན  བྱ་བ 
 ནོ  །_། 						ནོ 	།_། 	དེ་ལ 	རྒྱུ 	-འི 	གནས་སྐབས་ནི 	bstod tshogs ka_.txt	     ནོ  །_།  དེ་ལ  རྒྱུ  -འི  གནས་སྐབས་ནི 
 ནོ  །_། 						ནོ 	།_། 	དེའི 	རྒྱུ་ཡང 	རྣམ་པ 	བཞི་སྟེ 	bstod tshogs ka_.txt	     ནོ  །_།  དེའི  རྒྱུ་ཡང  རྣམ་པ  བཞི་སྟེ 
 ནོ  །_། 						ནོ 	།_། 	གང 	སླད 	གལ་ཏེ 	རང་ལ 	bstod tshogs ka_.txt	     ནོ  །_།  གང  སླད  གལ་ཏེ  རང་ལ 
 ནོ  །_། 						ནོ 	།_། 	འཇིག 	རྟེན 	འདི་དག 	རང 	bstod tshogs ka_.txt	     ནོ  །_།  འཇིག  རྟེན  འདི་དག  རང 
 ནོ  །_། 						ནོ 	།_། 	བསམ་པ 	-འི 	གནས་སྐབས་ཀྱི 	ལེའུ་སྟེ་དང་པོའོ 	bstod tshogs ka_.txt	     ནོ  །_།  བསམ་པ  -འི  གནས་སྐབས་ཀྱི  ལེའུ་སྟེ་དང་པོའོ 
 ནོ  །_། 						ནོ 	།_། 	དེ་ཡང 	རྣམ་པ་གཉིས་ཏེ 	།_ 	མོས་པ 	bstod tshogs ka_.txt	     ནོ  །_།  དེ་ཡང  རྣམ་པ་གཉིས་ཏེ  །_  མོས་པ 
 ནོ ད་པ 						ནོ	ད་པ 	སྐྱེ་ཞེས 	བྱ་བ 	འདི་དག་གིས་ནི 	རང་བཞིན 	bstod tshogs ka_.txt	     ནོ ད་པ  སྐྱེ་ཞེས  བྱ་བ  འདི་དག་གིས་ནི  རང་བཞིན 
ཡོན་ཏན  ནོ ར 	ཕྱིན་པའོ 	།_། 	ཁྱོད་ཀྱིས 	རྟག་ཏུ 	ཡོན་ཏན 	ནོ	ར 	ལྷག 	རྣམས་ལ 	གུས་པ 	-ས་ཞེས 	bstod tshogs ka_.txt	ཕྱིན་པའོ  །_།  ཁྱོད་ཀྱིས  རྟག་ཏུ  ཡོན་ཏན  ནོ ར  ལྷག  རྣམས་ལ  གུས་པ  -ས་ཞེས 
བསྟན་པ་ཡིན  ནོ  །_། 	ཐོབ་པ 	རྣམས་ཀྱི 	ཕ་རོལ་ཏུ 	ཕྱིན་པ་བདུན 	བསྟན་པ་ཡིན 	ནོ 	།_། 	ས 	ཐོབ་པ 	རྣམས་ཀྱི 	སྦྱོར་བ 	bstod tshogs ka_.txt	ཐོབ་པ  རྣམས་ཀྱི  ཕ་རོལ་ཏུ  ཕྱིན་པ་བདུན  བསྟན་པ་ཡིན  ནོ  །_།  ས  ཐོབ་པ  རྣམས་ཀྱི  སྦྱོར་བ 
 ནོ  །_། 						ནོ 	།_། 	སེམས 	ཅན་གྱི 	དོན 	མཛད་པ 	bstod tshogs ka_.txt	     ནོ  །_།  སེམས  ཅན་གྱི  དོན  མཛད་པ 
