 གྱི  ཉོན་མོངས་ཀུན 						གྱི 	ཉོན་མོངས་ཀུན 	།_། 	མ 	ལུས་པ 	དག 	bstod tshogs ka_.txt	     གྱི  ཉོན་མོངས་ཀུན  །_།  མ  ལུས་པ  དག 
 གྱི  ཕྱི་མོ་ལགས 						གྱི 	ཕྱི་མོ་ལགས 	།_། 	ཕ 	རོལ 	ཕྱིན་པ 	bstod tshogs ka_.txt	     གྱི  ཕྱི་མོ་ལགས  །_།  ཕ  རོལ  ཕྱིན་པ 
 གྱི ས 						གྱི	ས 	མ་སྨད་པ 	ཁྱོད་ཀྱི 	།_། 	དུས 	bstod tshogs ka_.txt	     གྱི ས  མ་སྨད་པ  ཁྱོད་ཀྱི  །_།  དུས 
 གྱི ས 						གྱི	ས 	བསྔགས་པ་མཛད 	།_། 	ཟིལ་པ 	-འི 	bstod tshogs ka_.txt	     གྱི ས  བསྔགས་པ་མཛད  །_།  ཟིལ་པ  -འི 
 གྱི ས 						གྱི	ས 	མི 	ཁྱབ་པ 	-ར 	བསྟོད་པ 	bstod tshogs ka_.txt	     གྱི ས  མི  ཁྱབ་པ  -ར  བསྟོད་པ 
 གྱི ས 						གྱི	ས 	མི 	ཁྱབ་པ 	-ར 	བསྟོད་པ 	bstod tshogs ka_.txt	     གྱི ས  མི  ཁྱབ་པ  -ར  བསྟོད་པ 
 གྱི ས་པ་ཞེས 						གྱི	ས་པ་ཞེས 	བགྱིད་དེ 	མཆིས་ཏེ 	།_། 	ཆད་པ 	bstod tshogs ka_.txt	     གྱི ས་པ་ཞེས  བགྱིད་དེ  མཆིས་ཏེ  །_།  ཆད་པ 
 གྱི  དངོས་མེད་པ 						གྱི 	དངོས་མེད་པ 	།_། 	དེ 	ཚེ 	དངོས 	bstod tshogs ka_.txt	     གྱི  དངོས་མེད་པ  །_།  དེ  ཚེ  དངོས 
 གྱི  ཐེག་པ་ཅི་ཞིག་མཆིས 						གྱི 	ཐེག་པ་ཅི་ཞིག་མཆིས 	།_། 	གདོད 	མ 	ཉིད་ནས 	bstod tshogs ka_.txt	     གྱི  ཐེག་པ་ཅི་ཞིག་མཆིས  །_།  གདོད  མ  ཉིད་ནས 
 གྱི ས་ཀྱང 						གྱི	ས་ཀྱང 	མྱ་ངན་འདས 	།_། 	ཡང 	དག་པ 	bstod tshogs ka_.txt	     གྱི ས་ཀྱང  མྱ་ངན་འདས  །_།  ཡང  དག་པ 
 གྱི ས་བྱས 						གྱི	ས་བྱས 	།_། 	དངོས་པོ 	སྟོང་པ 	དེ་བཞིན་དུ 	bstod tshogs ka_.txt	     གྱི ས་བྱས  །_།  དངོས་པོ  སྟོང་པ  དེ་བཞིན་དུ 
